,lat,lng,temp,pressure_hpa,humidity_%,clouds,wind_speed,wind_deg,animal_class
0,45.1511,10.7748,7.160000000000025,1009,93,100,2.24,200,6
1,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,4
2,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,5
3,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,5
4,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,4
5,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,6
6,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,3
7,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,1
8,45.1511,10.7748,6.129999999999996,1009,93,100,1.34,290,4
9,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,4
10,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,3
11,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,2
12,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,3
13,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,4
14,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,2
15,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,3
16,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,3
17,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,2
18,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,4
19,45.1511,10.7748,6.260000000000048,1009,93,100,0.89,263,7
20,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,3
21,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,6
22,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,2
23,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,2
24,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,5
25,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,2
26,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,2
27,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,5
28,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,6
29,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,4
30,45.1511,10.7748,6.240000000000008,1009,93,100,0.89,287,7
31,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,2
32,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,5
33,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,5
34,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,7
35,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,2
36,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,2
37,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,2
38,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,2
39,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,4
40,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,6
41,45.1511,10.7748,6.240000000000008,1009,93,100,1.34,250,6
42,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,1
43,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,7
44,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,2
45,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,2
46,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,6
47,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,3
48,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,4
49,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,6
50,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,4
51,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,2
52,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,278,2
53,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,3
54,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,5
55,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,6
56,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,2
57,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,7
58,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,7
59,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,6
60,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,1
61,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,4
62,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,1
63,45.1511,10.7748,6.110000000000013,1009,93,100,0.89,251,2
64,45.1511,10.7748,6.129999999999996,1009,93,100,0.45,268,5
65,45.1511,10.7748,6.129999999999996,1009,93,100,0.45,268,7
66,45.1511,10.7748,6.129999999999996,1009,93,100,0.45,268,2
67,45.1511,10.7748,7.220000000000027,1008,92,100,1.34,39,7
68,45.1511,10.7748,6.129999999999996,1009,93,100,0.45,268,1
69,45.1511,10.7748,6.129999999999996,1009,93,100,0.45,268,2
